date,home_team,away_team,odds_h,odds_d,odds_a,source
2026-06-13,Brazil,Morocco,1.69,3.90,5.89,websearch_bet365_mix
2026-06-13,Qatar,Switzerland,9.50,5.50,1.30,websearch_bet365
2026-06-13,Haiti,Scotland,6.25,4.50,1.44,websearch_bet365
2026-06-13,Australia,Turkey,4.50,3.50,1.80,websearch_bet365
2026-06-14,Germany,Curaçao,1.05,17.0,41.0,websearch_consensus
2026-06-14,Ivory Coast,Ecuador,3.60,2.94,2.25,websearch_kalshi_mix
2026-06-14,Netherlands,Japan,2.00,3.75,3.40,websearch_bet365
2026-06-14,Sweden,Tunisia,1.94,3.30,4.00,websearch_bet365
